gescrapte Witze insgesamt: 7225

nach Kategorie:
akademiker-witze: 41
alle-kinder-sprueche: 388
arztwitze: 623
anwaltswitze: 49
arbeitswitze: 143
arztwitze: 623
bankerwitze: 155
bauernwitze: 32
bayern-witze: 12
beamtenwitze: 218
blondinenwitze: 1207
boese-witze: 25
bundeswehr-witze: 289
buerowitze: 129
chinesen-witze: 7
computerwitze: 173
deine-mutter-witze: 37
deutsche-witze: 11
drogen-witze: 12
familienwitze: 258
flachwitze: 32
fussballwitze: 35
geschichte-witze: 20
jaegerwitze: 25
juristen-witze: 80
kannibalen-witze: 31
kellnerwitze: 178
kinderwitze: 126
laenderwitze: 164
musikerwitze: 317
oesterreicher-witze: 66
ostfriesenwitze: 347
polenwitze: 36
politiker-witze: 147
polizei-witze: 132
schlechte-witze: 23
schulwitze: 225
sportwitze: 214
studentenwitze: 71
tierwitze: 311
urlaubswitze: 168
weihnachtswitze: 23
wortwitze: 22
